Name of Student,Graduation Year,Location,University,Department,Degree,Major,Minors,Job Title,Company,Industry,Years of Experience,Technical and Non-technical Skills,Areas of Interest
Bob Walker,2020,Dallas,University of Pennsylvania,Chemistry,PhD,Machine Learning,Philosophy,Product Manager,Amazon,Automotive,8,"Django, CSS, Python","ML, IoT"
Emily Johnson,2018,Los Angeles,MIT,Economics,BBA,Data Science,Environmental Science,Research Scientist,Microsoft,Automotive,23,"JavaScript, HTML, SQL","Data Science, IoT"
Michael Smith,2015,Phoenix,"University of California, Berkeley",Electrical Engineering,MBA,Artificial Intelligence,Sociology,Research Scientist,Microsoft,Education,17,"Django, Kubernetes, HTML","Quantum Computing, Data Science"
Jessica Walker,2010,San Jose,Stanford University,Chemistry,PhD,Quantum Computing,Philosophy,Full Stack Developer,Facebook,Retail,9,"Docker, CSS, AWS","Data Science, Quantum Computing"
David Lewis,2023,San Jose,University of Chicago,Chemistry,MBA,Business Analytics,Sociology,Full Stack Developer,Google,Energy,28,"Docker, Git, Django","Quantum Computing, Blockchain"
David Clark,2006,Philadelphia,Columbia University,Economics,BBA,Data Science,History,Full Stack Developer,Tesla,Telecommunications,19,"AWS, Java, Django","Renewable Energy, Blockchain"
David Clark,2024,Los Angeles,Harvard University,Mechanical Engineering,BBA,Robotics,History,Product Manager,Facebook,Retail,24,"SQL, Python, Keras","IoT, Robotics"
Linda Scott,2017,Dallas,"University of California, Berkeley",Mechanical Engineering,M.Tech,Artificial Intelligence,Environmental Science,Operations Manager,Facebook,Education,23,"Docker, React, HTML","Quantum Computing, Blockchain"
Sarah Johnson,2023,San Jose,Princeton University,Electrical Engineering,B.Tech,Software Engineering,Art History,Data Scientist,Amazon,Retail,26,"Keras, React, Java","Business Strategy, Renewable Energy"
Linda Smith,2009,Houston,Columbia University,Biology,B.Tech,Renewable Energy,Statistics,Product Manager,Amazon,Consulting,14,"SQL, React, C++","ML, AI"
Robert Walker,2005,Chicago,MIT,Economics,M.Tech,Data Science,Art History,DevOps Engineer,Microsoft,Education,2,"Java, CSS, AWS","Blockchain, AI"
Bob Clark,2004,New York,Columbia University,Physics,BBA,Business Analytics,Political Science,Product Manager,Apple,Energy,18,"CSS, TensorFlow, Python","ML, Quantum Computing"
Michael Lee,2011,Houston,MIT,Business Administration,BBA,Business Analytics,Art History,Consultant,Intel,Automotive,12,"Keras, Django, HTML","Blockchain, Business Strategy"
Emily Johnson,2016,New York,Harvard University,Business Administration,BBA,Artificial Intelligence,Political Science,Full Stack Developer,Google,Retail,2,"Java, Docker, TensorFlow","Data Science, Robotics"
Robert Brown,2015,San Antonio,Yale University,Computer Science,PhD,Financial Engineering,Political Science,Product Manager,Facebook,Consulting,12,"SQL, Git, Django","Robotics, Cybersecurity"
Linda Clark,2012,Dallas,Columbia University,Business Administration,PhD,Data Science,Psychology,Product Manager,Amazon,Healthcare,22,"C++, AWS, JavaScript","Robotics, Quantum Computing"
Robert Clark,2006,San Antonio,Yale University,Computer Science,MBA,Quantum Computing,Psychology,Product Manager,Google,Consulting,9,"JavaScript, Git, AWS","Data Science, Renewable Energy"
David Taylor,2009,Los Angeles,Princeton University,Physics,M.Sc,Quantum Computing,Linguistics,Marketing Manager,Apple,Energy,18,"HTML, Kubernetes, Java","Quantum Computing, IoT"
Emily Smith,2013,San Jose,Stanford University,Mechanical Engineering,M.Tech,Renewable Energy,Art History,Data Scientist,Netflix,Retail,2,"React, Django, Java","Renewable Energy, IoT"
Sarah Lee,2007,Philadelphia,"University of California, Berkeley",Mechanical Engineering,M.Sc,Artificial Intelligence,Philosophy,Research Scientist,Facebook,Automotive,3,"Keras, AWS, CSS","Blockchain, Quantum Computing"
Bob Taylor,2016,Phoenix,Princeton University,Economics,MBA,Artificial Intelligence,Law,Software Engineer,IBM,Finance,18,"Python, JavaScript, C++","Renewable Energy, AI"
Jessica Johnson,2001,Los Angeles,Harvard University,Chemistry,M.Sc,Robotics,Art History,Research Scientist,Microsoft,Government,16,"TensorFlow, Kubernetes, React","Robotics, Quantum Computing"
Linda Taylor,2023,Houston,Stanford University,Physics,PhD,Machine Learning,Statistics,Consultant,Tesla,Healthcare,27,"TensorFlow, Kubernetes, Git","Data Science, Business Strategy"
Alice Lee,2009,San Antonio,University of Pennsylvania,Economics,M.Tech,Cybersecurity,Psychology,Operations Manager,Adobe,Government,21,"Git, React, Kubernetes","Blockchain, Business Strategy"
Bob Smith,2019,Phoenix,Yale University,Biology,M.Sc,Renewable Energy,Political Science,Business Analyst,Google,Retail,15,"Java, JavaScript, Git","Cybersecurity, AI"
John Taylor,2010,Dallas,University of Chicago,Biology,M.Sc,Machine Learning,Political Science,Research Scientist,IBM,Energy,11,"SQL, Django, Git","ML, Cybersecurity"
Bob Clark,2018,Los Angeles,California Institute of Technology,Mathematics,MBA,Business Analytics,Environmental Science,Software Engineer,Netflix,Retail,30,"C++, TensorFlow, Django","Cybersecurity, Renewable Energy"
Robert Lee,2013,Phoenix,Columbia University,Mechanical Engineering,B.Sc,Machine Learning,Art History,Software Engineer,Adobe,Education,17,"Keras, React, TensorFlow","ML, Blockchain"
Bob Brown,2009,Chicago,Harvard University,Chemistry,B.Sc,Financial Engineering,Psychology,Business Analyst,Amazon,Healthcare,10,"CSS, Python, AWS","Blockchain, Robotics"
John Clark,2018,Chicago,"University of California, Berkeley",Economics,MBA,Financial Engineering,Law,Data Scientist,IBM,Automotive,4,"Kubernetes, React, AWS","Quantum Computing, Business Strategy"
Jessica Lee,2003,Houston,Princeton University,Physics,BBA,Business Analytics,History,DevOps Engineer,Google,Finance,9,"AWS, C++, React","Quantum Computing, AI"
Sarah Walker,2008,Phoenix,Stanford University,Economics,B.Tech,Quantum Computing,Philosophy,Research Scientist,Apple,Education,6,"AWS, JavaScript, TensorFlow","Quantum Computing, Robotics"
Linda Johnson,2001,San Diego,"University of California, Berkeley",Computer Science,MBA,Artificial Intelligence,Psychology,Consultant,IBM,Government,25,"JavaScript, React, SQL","Quantum Computing, IoT"
Alice Johnson,2007,Dallas,Princeton University,Chemistry,BBA,Quantum Computing,Linguistics,Operations Manager,Netflix,Energy,17,"JavaScript, Git, CSS","Business Strategy, Blockchain"
Bob Lee,2005,San Jose,Harvard University,Biology,MBA,Data Science,Philosophy,Operations Manager,IBM,Automotive,11,"JavaScript, AWS, SQL","ML, Cybersecurity"
Emily Brown,2002,New York,University of Chicago,Civil Engineering,BBA,Artificial Intelligence,Art History,Research Scientist,Tesla,Telecommunications,2,"Kubernetes, CSS, TensorFlow","Robotics, Cybersecurity"
Jessica Lewis,2003,Philadelphia,Yale University,Biology,PhD,Software Engineering,Environmental Science,Marketing Manager,Adobe,Telecommunications,3,"SQL, Python, TensorFlow","Robotics, Renewable Energy"
Jessica Anderson,2023,San Antonio,University of Pennsylvania,Business Administration,M.Tech,Financial Engineering,Psychology,Operations Manager,Netflix,Technology,26,"Docker, Python, Kubernetes","Robotics, Business Strategy"
Jessica Johnson,2023,San Antonio,University of Pennsylvania,Economics,M.Tech,Renewable Energy,Environmental Science,Software Engineer,Intel,Finance,30,"CSS, Git, TensorFlow","Business Strategy, Blockchain"
Michael Scott,2009,San Diego,Harvard University,Biology,B.Sc,Artificial Intelligence,Psychology,Data Scientist,Netflix,Automotive,14,"HTML, Docker, React","Renewable Energy, Quantum Computing"
John Anderson,2017,Chicago,University of Chicago,Mathematics,B.Sc,Robotics,History,Full Stack Developer,Google,Healthcare,26,"Java, Kubernetes, AWS","ML, Data Science"
Michael Taylor,2008,San Antonio,Columbia University,Electrical Engineering,PhD,Business Analytics,Law,DevOps Engineer,Microsoft,Consulting,8,"Django, HTML, C++","Business Strategy, AI"
Bob Clark,2021,San Jose,California Institute of Technology,Electrical Engineering,M.Tech,Cybersecurity,Psychology,Product Manager,Netflix,Government,19,"Python, Git, SQL","AI, Blockchain"
Emily Lewis,2006,San Jose,Columbia University,Biology,B.Tech,Software Engineering,Sociology,Business Analyst,Adobe,Retail,26,"Django, React, Docker","AI, Quantum Computing"
Robert Anderson,2011,Los Angeles,California Institute of Technology,Business Administration,PhD,Artificial Intelligence,Sociology,Operations Manager,Amazon,Automotive,17,"Java, Docker, TensorFlow","Blockchain, Quantum Computing"
David Anderson,2019,San Jose,Columbia University,Chemistry,BBA,Quantum Computing,Sociology,Operations Manager,Google,Consulting,17,"Kubernetes, Java, JavaScript","IoT, Quantum Computing"
Linda Walker,2013,Chicago,University of Pennsylvania,Mechanical Engineering,B.Tech,Financial Engineering,Linguistics,Research Scientist,Facebook,Automotive,8,"Git, Kubernetes, C++","Blockchain, Cybersecurity"
David Taylor,2007,San Diego,MIT,Mechanical Engineering,B.Sc,Financial Engineering,Linguistics,Research Scientist,Google,Education,23,"JavaScript, Docker, Kubernetes","Quantum Computing, Data Science"
Emily Taylor,2023,San Antonio,Princeton University,Biology,B.Sc,Business Analytics,Art History,DevOps Engineer,Facebook,Technology,28,"TensorFlow, AWS, Docker","AI, Blockchain"
John Clark,2007,Houston,Princeton University,Biology,M.Sc,Data Science,Environmental Science,DevOps Engineer,Microsoft,Automotive,7,"Python, Kubernetes, HTML","Data Science, Robotics"
Sarah Clark,2006,San Diego,Yale University,Civil Engineering,MBA,Software Engineering,Philosophy,Full Stack Developer,Microsoft,Automotive,1,"TensorFlow, React, CSS","Renewable Energy, Data Science"
Jessica Taylor,2008,Dallas,"University of California, Berkeley",Physics,B.Sc,Cybersecurity,Linguistics,Consultant,Microsoft,Government,29,"CSS, HTML, Java","Cybersecurity, Renewable Energy"
John Scott,2002,San Diego,University of Chicago,Electrical Engineering,PhD,Artificial Intelligence,Art History,Consultant,Facebook,Finance,15,"CSS, TensorFlow, HTML","Data Science, Quantum Computing"
Sarah Brown,2018,Philadelphia,University of Pennsylvania,Civil Engineering,B.Tech,Quantum Computing,Political Science,DevOps Engineer,Netflix,Technology,21,"CSS, C++, JavaScript","Quantum Computing, IoT"
Emily Lee,2013,Phoenix,Harvard University,Chemistry,BBA,Artificial Intelligence,Sociology,DevOps Engineer,Google,Healthcare,16,"Docker, C++, Java","Data Science, IoT"
Michael Walker,2003,Philadelphia,Stanford University,Civil Engineering,M.Sc,Data Science,Art History,Business Analyst,IBM,Healthcare,5,"TensorFlow, Docker, Kubernetes","Quantum Computing, Robotics"
Alice Lewis,2015,Dallas,Princeton University,Economics,PhD,Robotics,Linguistics,Software Engineer,Netflix,Consulting,7,"Python, CSS, Docker","ML, AI"
Jessica Anderson,2006,Phoenix,Yale University,Civil Engineering,B.Tech,Business Analytics,Art History,Data Scientist,Tesla,Technology,6,"Git, Java, Python","Blockchain, Quantum Computing"
Bob Lee,2016,Dallas,University of Chicago,Business Administration,M.Sc,Financial Engineering,Sociology,Marketing Manager,Intel,Technology,8,"Docker, Kubernetes, AWS","Cybersecurity, Robotics"
David Brown,2019,Phoenix,Columbia University,Economics,MBA,Renewable Energy,Philosophy,Consultant,Amazon,Education,9,"JavaScript, SQL, Python","Blockchain, Renewable Energy"
Robert Anderson,2008,New York,Harvard University,Economics,M.Tech,Renewable Energy,Statistics,Data Scientist,Adobe,Consulting,2,"Docker, C++, Kubernetes","ML, IoT"
Robert Anderson,2020,San Jose,Columbia University,Chemistry,BBA,Quantum Computing,Linguistics,DevOps Engineer,Microsoft,Automotive,22,"SQL, Git, Docker","ML, Robotics"
Alice Clark,2022,Houston,University of Chicago,Chemistry,MBA,Software Engineering,Art History,Full Stack Developer,Intel,Automotive,5,"JavaScript, C++, CSS","ML, Robotics"
Michael Scott,2017,Houston,University of Pennsylvania,Physics,M.Sc,Robotics,Law,Research Scientist,Amazon,Finance,1,"Git, AWS, Python","IoT, Cybersecurity"
Jessica Anderson,2023,San Antonio,University of Chicago,Business Administration,M.Sc,Data Science,Statistics,Research Scientist,Adobe,Retail,22,"JavaScript, AWS, HTML","IoT, Cybersecurity"
John Clark,2003,Chicago,Columbia University,Computer Science,B.Tech,Software Engineering,Philosophy,Business Analyst,Google,Consulting,8,"HTML, TensorFlow, Git","ML, Quantum Computing"
John Smith,2020,Los Angeles,"University of California, Berkeley",Mathematics,BBA,Data Science,Linguistics,Marketing Manager,Amazon,Automotive,23,"Keras, C++, React","Quantum Computing, Blockchain"
David Taylor,2007,Chicago,Harvard University,Civil Engineering,BBA,Robotics,History,Consultant,Adobe,Consulting,29,"AWS, Java, SQL","Quantum Computing, Cybersecurity"
Robert Lewis,2018,Los Angeles,Stanford University,Biology,PhD,Financial Engineering,History,Operations Manager,Amazon,Healthcare,11,"Keras, JavaScript, AWS","Cybersecurity, AI"
Emily Walker,2024,Los Angeles,Harvard University,Civil Engineering,BBA,Cybersecurity,Philosophy,Data Scientist,Tesla,Consulting,19,"JavaScript, Python, CSS","Data Science, Robotics"
Alice Taylor,2022,San Antonio,"University of California, Berkeley",Electrical Engineering,BBA,Quantum Computing,Linguistics,Marketing Manager,Netflix,Automotive,23,"Kubernetes, TensorFlow, AWS","Cybersecurity, Renewable Energy"
Linda Smith,2007,San Antonio,Stanford University,Chemistry,B.Tech,Data Science,Statistics,Marketing Manager,Google,Energy,29,"Keras, C++, HTML","Blockchain, AI"
Michael Scott,2013,San Antonio,University of Chicago,Mathematics,MBA,Cybersecurity,Art History,Marketing Manager,IBM,Technology,10,"Docker, Python, JavaScript","Renewable Energy, Business Strategy"
Robert Lee,2016,New York,California Institute of Technology,Computer Science,M.Tech,Data Science,Art History,Business Analyst,Netflix,Energy,26,"SQL, Java, CSS","Cybersecurity, Data Science"
Emily Walker,2017,New York,University of Chicago,Computer Science,PhD,Data Science,Sociology,Business Analyst,Tesla,Retail,8,"Git, React, Keras","Business Strategy, Quantum Computing"
Bob Smith,2022,New York,"University of California, Berkeley",Chemistry,MBA,Data Science,Linguistics,Research Scientist,Intel,Finance,6,"HTML, TensorFlow, CSS","ML, Quantum Computing"
Bob Johnson,2009,Phoenix,Yale University,Physics,B.Tech,Software Engineering,Psychology,Product Manager,Microsoft,Automotive,22,"Docker, Python, JavaScript","IoT, Blockchain"
Michael Taylor,2006,San Jose,University of Chicago,Mathematics,M.Sc,Artificial Intelligence,Psychology,Consultant,Netflix,Technology,25,"Django, TensorFlow, HTML","Blockchain, Data Science"
David Johnson,2019,Phoenix,"University of California, Berkeley",Computer Science,M.Sc,Business Analytics,Linguistics,Marketing Manager,Facebook,Government,15,"JavaScript, SQL, Java","AI, Quantum Computing"
David Anderson,2007,San Jose,University of Pennsylvania,Chemistry,M.Sc,Cybersecurity,Statistics,Operations Manager,Amazon,Energy,3,"Docker, Python, Keras","Robotics, Data Science"
Linda Taylor,2015,New York,University of Chicago,Mathematics,M.Sc,Quantum Computing,Statistics,Business Analyst,Adobe,Telecommunications,23,"Keras, JavaScript, React","Data Science, Blockchain"
Emily Lee,2004,San Antonio,"University of California, Berkeley",Computer Science,PhD,Quantum Computing,Sociology,Research Scientist,Google,Technology,5,"Docker, Kubernetes, JavaScript","Quantum Computing, Data Science"
Emily Smith,2007,Philadelphia,Yale University,Chemistry,BBA,Data Science,History,Full Stack Developer,Tesla,Energy,4,"CSS, Python, AWS","AI, Cybersecurity"
Alice Lee,2018,Houston,Columbia University,Business Administration,B.Tech,Data Science,Sociology,Marketing Manager,Tesla,Finance,19,"Keras, HTML, CSS","Data Science, Quantum Computing"
Jessica Lee,2022,New York,MIT,Mathematics,M.Tech,Quantum Computing,Art History,Consultant,Facebook,Energy,8,"Kubernetes, Keras, Java","Blockchain, Renewable Energy"
John Johnson,2010,San Antonio,Stanford University,Mathematics,B.Tech,Data Science,Law,Operations Manager,Tesla,Energy,3,"Python, React, TensorFlow","AI, Blockchain"
Alice Johnson,2017,San Antonio,Yale University,Civil Engineering,MBA,Business Analytics,Linguistics,Operations Manager,Intel,Education,10,"JavaScript, CSS, SQL","Data Science, Blockchain"
John Taylor,2023,Chicago,University of Chicago,Economics,M.Tech,Business Analytics,Political Science,Business Analyst,Netflix,Healthcare,21,"C++, Docker, Python","Renewable Energy, AI"
John Smith,2006,Dallas,Harvard University,Chemistry,PhD,Business Analytics,Psychology,Operations Manager,Intel,Telecommunications,22,"JavaScript, Keras, Git","IoT, ML"
Emily Smith,2000,New York,MIT,Chemistry,B.Tech,Robotics,Philosophy,Full Stack Developer,Facebook,Energy,27,"AWS, C++, TensorFlow","AI, Blockchain"
John Walker,2019,San Jose,California Institute of Technology,Mechanical Engineering,BBA,Data Science,Environmental Science,Research Scientist,Google,Finance,13,"JavaScript, C++, TensorFlow","Cybersecurity, IoT"
Bob Walker,2002,Houston,Columbia University,Electrical Engineering,M.Sc,Business Analytics,Law,DevOps Engineer,Apple,Energy,12,"CSS, Docker, Python","Data Science, AI"
Alice Scott,2012,Philadelphia,MIT,Chemistry,PhD,Financial Engineering,Sociology,Consultant,Amazon,Healthcare,30,"C++, TensorFlow, Python","Data Science, AI"
Michael Walker,2011,Phoenix,University of Chicago,Physics,PhD,Data Science,Sociology,Product Manager,Netflix,Education,7,"Python, JavaScript, SQL","AI, Quantum Computing"
Jessica Anderson,2013,New York,University of Pennsylvania,Electrical Engineering,M.Tech,Cybersecurity,Philosophy,Product Manager,Tesla,Technology,23,"JavaScript, Git, SQL","Data Science, Business Strategy"
Robert Scott,2006,Houston,MIT,Business Administration,PhD,Quantum Computing,Statistics,Software Engineer,Adobe,Technology,15,"CSS, Docker, Kubernetes","Quantum Computing, Cybersecurity"
Michael Smith,2008,Philadelphia,MIT,Biology,M.Tech,Business Analytics,Psychology,DevOps Engineer,Apple,Education,2,"Git, TensorFlow, CSS","AI, Renewable Energy"
Michael Brown,2014,Houston,Stanford University,Mathematics,B.Tech,Artificial Intelligence,Linguistics,Software Engineer,Intel,Government,24,"Kubernetes, TensorFlow, Java","Quantum Computing, AI"
John Brown,2015,Houston,Princeton University,Mathematics,M.Tech,Quantum Computing,Law,Data Scientist,Netflix,Energy,5,"HTML, SQL, AWS","Cybersecurity, Renewable Energy"
John Walker,2003,Los Angeles,California Institute of Technology,Chemistry,BBA,Artificial Intelligence,Political Science,Full Stack Developer,Tesla,Healthcare,2,"Kubernetes, Keras, React","Quantum Computing, Blockchain"
Bob Anderson,2018,Houston,Harvard University,Computer Science,MBA,Data Science,History,Software Engineer,Microsoft,Technology,17,"HTML, JavaScript, C++","IoT, Renewable Energy"
Michael Scott,2011,Philadelphia,"University of California, Berkeley",Mechanical Engineering,PhD,Financial Engineering,Political Science,Full Stack Developer,Amazon,Education,29,"C++, SQL, Docker","Cybersecurity, Business Strategy"
Bob Scott,2020,Phoenix,Yale University,Economics,M.Sc,Renewable Energy,History,Operations Manager,Amazon,Healthcare,12,"React, Git, Python","Cybersecurity, Data Science"
Bob Brown,2010,Los Angeles,Stanford University,Physics,B.Sc,Business Analytics,Art History,Product Manager,Amazon,Technology,14,"React, Docker, Keras","Robotics, AI"
Alice Taylor,2018,Dallas,Yale University,Economics,MBA,Artificial Intelligence,Environmental Science,Research Scientist,Facebook,Education,3,"CSS, React, HTML","IoT, Data Science"
Emily Brown,2005,New York,California Institute of Technology,Mathematics,M.Sc,Financial Engineering,Psychology,Operations Manager,Apple,Finance,16,"Django, AWS, JavaScript","Robotics, Data Science"
John Clark,2013,Los Angeles,University of Pennsylvania,Biology,BBA,Machine Learning,Psychology,Consultant,IBM,Healthcare,17,"SQL, C++, JavaScript","Data Science, Blockchain"
David Johnson,2006,San Diego,University of Chicago,Biology,PhD,Software Engineering,Environmental Science,Business Analyst,Tesla,Energy,9,"Java, C++, CSS","Business Strategy, Renewable Energy"
Bob Lee,2002,Phoenix,MIT,Biology,M.Sc,Artificial Intelligence,Political Science,Data Scientist,Netflix,Technology,21,"TensorFlow, JavaScript, SQL","AI, ML"
Bob Anderson,2006,San Jose,Stanford University,Civil Engineering,B.Tech,Artificial Intelligence,Environmental Science,Full Stack Developer,IBM,Energy,24,"CSS, AWS, React","Renewable Energy, Robotics"
Jessica Taylor,2022,San Jose,Yale University,Business Administration,MBA,Financial Engineering,Psychology,Product Manager,Amazon,Telecommunications,16,"Docker, Kubernetes, React","Blockchain, Robotics"
Emily Clark,2022,Phoenix,Yale University,Civil Engineering,M.Tech,Financial Engineering,Sociology,Product Manager,Google,Government,9,"Keras, CSS, Git","Business Strategy, Renewable Energy"
David Taylor,2020,Los Angeles,Yale University,Civil Engineering,MBA,Quantum Computing,Law,Marketing Manager,Google,Finance,29,"Docker, SQL, CSS","AI, ML"
Emily Johnson,2010,San Antonio,"University of California, Berkeley",Mechanical Engineering,PhD,Cybersecurity,Political Science,Marketing Manager,Amazon,Government,28,"Docker, TensorFlow, SQL","Quantum Computing, ML"
John Smith,2014,Houston,MIT,Economics,M.Tech,Business Analytics,Sociology,Full Stack Developer,Adobe,Automotive,17,"CSS, C++, Kubernetes","ML, AI"
Alice Clark,2002,Houston,University of Chicago,Civil Engineering,PhD,Quantum Computing,Statistics,Consultant,Facebook,Healthcare,29,"C++, React, TensorFlow","Cybersecurity, ML"
John Brown,2024,Dallas,California Institute of Technology,Biology,MBA,Business Analytics,Philosophy,DevOps Engineer,Intel,Telecommunications,23,"AWS, Keras, Java","Quantum Computing, Data Science"
Bob Johnson,2012,Chicago,Yale University,Mathematics,M.Tech,Artificial Intelligence,Linguistics,Research Scientist,Adobe,Finance,22,"Python, Keras, TensorFlow","Blockchain, Data Science"
Bob Lee,2020,San Antonio,California Institute of Technology,Economics,MBA,Software Engineering,Environmental Science,Operations Manager,Netflix,Government,24,"React, Docker, Kubernetes","Renewable Energy, Blockchain"
Linda Brown,2000,San Diego,University of Chicago,Mathematics,PhD,Renewable Energy,Sociology,Full Stack Developer,Google,Consulting,16,"CSS, Java, Django","IoT, ML"
Alice Johnson,2020,Chicago,California Institute of Technology,Biology,B.Sc,Robotics,Law,Business Analyst,Amazon,Healthcare,30,"JavaScript, AWS, TensorFlow","Data Science, Blockchain"
David Brown,2006,Houston,University of Pennsylvania,Computer Science,PhD,Cybersecurity,Law,Consultant,Amazon,Retail,21,"Python, TensorFlow, SQL","Blockchain, AI"
